customer_id,customer_name,gender,age,city,area,registered_date,customer_segment,preferred_payment_mode
CU000059,Kevin Mittal,Male,46.0,Bilaspur,Sarkanda,2025-01-23,New,UPI
CU000060,Anusha Chander,Male,33.0,Bilaspur,Sarkanda,2024-08-28,New,UPI
CU000061,Zashil Butala,Male,45.0,Bhilai,Sector 10,2025-07-12,Returning,Cash on Delivery
CU000062,Noah Ben,Female,20.0,Bhilai,Sector 10,2026-02-22,Returning,UPI
CU000063,Dalaja Kaur,Male,23.0,Bhilai,Smriti Nagar,2026-02-21,Returning,UPI
CU000064,Gavin Chandran,Male,33.0,Raipur,Civil Lines,2024-05-01,Premium,Card
CU000065,Tanay Sood,Male,51.0,Bhilai,Smriti Nagar,2024-04-04,New,UPI
CU000066,Kevin Kara,Female,,Durg,Adarsh Nagar,2024-04-26,New,UPI
CU000067,Aditya Anand,Male,49.0,Bilaspur,Vyapar Vihar,2024-07-29,Returning,UPI
CU000068,Jai Sami,Female,48.0,Durg,Malviya Nagar,2024-11-04,Returning,UPI
CU000069,Vanya Bobal,Male,63.0,Bhilai,Vaishali Nagar,2025-05-04,Returning,Cash on Delivery
CU000070,Leela Chakraborty,Male,44.0,Bhilai,Vaishali Nagar,2025-02-26,Premium,Cash on Delivery
CU000071,Harshil Munshi,Other,62.0,Raipur,VIP Road,2025-08-18,Returning,UPI
CU000072,Chandani Devan,Female,54.0,Bhilai,Sector 9,2026-01-09,Returning,Wallet
CU000073,Kiaan Dhar,Male,46.0,Bhilai,Sector 9,2024-05-16,New,Wallet
CU000074,Abhiram Gala,Male,55.0,Raipur,Civil Lines,2025-09-01,Returning,Wallet
CU000075,Indali Kala,Male,55.0,Raipur,VIP Road,2025-06-21,Returning,Wallet
CU000076,Nisha Savant,Male,19.0,Bilaspur,Link Road,2025-01-14,Returning,Card
CU000077,Gabriel Chaudhry,Male,18.0,Bhilai,Smriti Nagar,2025-08-21,Returning,UPI
CU000078,Jatin Rajagopalan,Male,53.0,Bhilai,Sector 10,2025-07-19,Premium,UPI
CU000079,Pushti Murty,Male,21.0,raipur,Avanti Vihar,2024-10-21,New,Cash on Delivery
CU000080,Yug Malhotra,Female,29.0,Bilaspur,Link Road,2025-09-11,Returning,Cash on Delivery
CU000081,Yuvraj Mane,Male,49.0,BHILAI,Smriti Nagar,2025-01-19,New,UPI
CU000082,Charvi Jha,Male,49.0,Bhilai,Vaishali Nagar,2024-08-15,Returning,Card
CU000083,Manya Merchant,Female,41.0,Bilaspur,Sarkanda,2026-03-19,Returning,UPI
CU000084,Wriddhish Talwar,Female,21.0,Raipur,Devendra Nagar,2024-12-03,New,Wallet
CU000085,Isaiah Khosla,Male,27.0,Korba,Transport Nagar,2025-05-03,New,UPI
CU000086,Ekavir Wable,Female,55.0,Raipur,Avanti Vihar,2024-09-23,New,Card
CU000087,Jalsa Nadig,Male,18.0,Bhilai,Vaishali Nagar,2025-04-30,Returning,Cash on Delivery
CU000088,Lila Salvi,Male,64.0,Raipur,Shankar Nagar,2025-11-27,Returning,UPI
CU000089,Orinder Sinha,Male,19.0,Bhilai,Smriti Nagar,2024-11-11,Premium,UPI
CU000090,Anay Bir,Female,29.0,RAIPUR,Telibandha,2026-01-08,New,UPI
CU000091,Adweta Kale,Female,31.0,Durg,Borsi,2025-03-07,New,Wallet
CU000092,Darpan Rao,Female,53.0,Bhilai,Sector 9,2026-01-13,Returning,UPI
CU000093,Yachana Sagar,Male,22.0,Bilaspur,Sarkanda,2024-06-02,Returning,Card
CU000094,Neelima Butala,Female,41.0,Raipur,Avanti Vihar,2025-06-06,New,Card
CU000095,Arunima Chacko,Female,52.0,Raipur,VIP Road,2025-10-05,Returning,UPI
CU000096,Farhan Vaidya,Male,32.0,Bhilai,Smriti Nagar,2024-12-15,New,UPI
CU000097,Nachiket Yadav,Female,23.0,Bilaspur,Sarkanda,2025-06-24,Returning,Card
CU000098,Mahika Bhatti,Male,31.0,Bhilai,Smriti Nagar,2025-04-06,New,Card
CU000099,Rajeshri Khare,Male,44.0,Rajnandgaon,Station Para,2025-02-05,Premium,UPI
CU000100,Yash Chadha,Female,44.0,Bilaspur,Tarbahar,2026-01-01,Returning,UPI
CU000101,Jack Setty,Female,39.0,Rajnandgaon,Civil Lines,2024-07-20,Returning,Cash on Delivery
CU000102,Dayamai Gill,Male,35.0,Raipur,Shankar Nagar,2025-08-10,Returning,UPI
CU000103,Advik Devan,Male,24.0,Durg,Borsi,2024-04-19,Returning,UPI
CU000104,Nihal Taneja,Female,62.0,Bilaspur,Tarbahar,2025-11-29,Returning,UPI
CU000105,Zansi Lad,Male,37.0,Bilaspur,Link Road,2025-02-17,Returning,UPI
CU000106,Kamya Date,Male,18.0,Rajnandgaon,Station Para,2024-06-04,Returning,UPI
CU000107,Jacob Balan,Female,19.0,Bilaspur,Vyapar Vihar,2024-09-30,Returning,UPI
CU000108,Pushti Magar,Male,51.0,Korba,Transport Nagar,2025-04-22,New,Cash on Delivery
CU000109,Adya Bose,Male,62.0,Bilaspur,Sarkanda,2025-06-16,New,UPI
CU000110,Tamanna Vaidya,Male,27.0,Raipur,VIP Road,2025-11-15,Returning,Cash on Delivery
CU000111,Christopher Tata,Female,64.0,Bilaspur,Tarbahar,2025-12-20,Returning,UPI
CU000112,Jhalak Dugar,Female,31.0,Bhilai,Sector 9,2025-04-23,Returning,UPI
CU000113,Harshil D’Alia,Male,64.0,Korba,TP Nagar,2024-08-09,New,UPI
CU000114,Yashodhara Agate,Male,39.0,Durg,Adarsh Nagar,2024-11-09,Returning,Cash on Delivery
CU000115,Advik Konda,Male,26.0,Raipur,Telibandha,2025-08-20,New,UPI
CU000116,Urmi Patla,Male,44.0,Raipur,Shankar Nagar,2024-12-13,Returning,UPI
CU000117,Mason Gola,Male,32.0,Raipur,Civil Lines,2025-03-17,Returning,Card
CU000118,Oni Kapur,Male,64.0,Bhilai,Sector 10,2024-05-19,New,Card
CU000119,Yuvraj Saha,Female,54.0,Raipur,Telibandha,2025-07-26,Returning,Card
CU000120,Anika Brahmbhatt,Male,47.0,Bilaspur,Sarkanda,2026-01-03,Returning,UPI
CU000121,Jagdish Thakkar,Female,30.0,Bilaspur,Link Road,2026-02-12,Returning,UPI
CU000122,Praneel Kapoor,Male,35.0,Durg,Adarsh Nagar,2025-08-21,Returning,Card
CU000123,Nandini Biswas,Male,49.0,Raipur,Shankar Nagar,2024-06-04,Returning,UPI
CU000124,Barkha Mukhopadhyay,Female,32.0,Bhilai,Supela,2026-01-18,New,Cash on Delivery
CU000125,Gabriel Shan,Male,22.0,Raipur,Avanti Vihar,2025-02-28,Returning,Cash on Delivery
CU000126,Jyoti Iyer,Male,35.0,Korba,Transport Nagar,2024-07-28,New,UPI
CU000127,Daksha Kibe,Female,50.0,Raipur,Civil Lines,2024-05-08,New,Wallet
CU000128,Jyoti Tak,Female,37.0,Raipur,Civil Lines,2024-09-18,New,UPI
CU000129,Yatan Dora,Female,57.0,Raipur,Devendra Nagar,2024-05-19,Returning,Card
CU000130,Nimrat Bajwa,Female,23.0,Durg,Ashish Nagar,2025-05-02,Premium,UPI
CU000131,Hiral Andra,Male,42.0,Raipur,Civil Lines,2025-07-27,New,UPI
CU000132,Aarav Puri,Female,31.0,Bilaspur,Vyapar Vihar,2024-06-07,Returning,UPI
CU000133,Hemang Jha,Male,44.0,Durg,Adarsh Nagar,2025-08-29,New,UPI
CU000134,Oni Swamy,Male,22.0,Durg,Malviya Nagar,2025-06-28,Returning,UPI
CU000135,Lucky Mammen,Male,36.0,Raipur,Avanti Vihar,2025-10-31,Returning,UPI
CU000136,Caleb Kata,Male,49.0,Raipur,Shankar Nagar,2024-11-23,New,UPI
CU000137,Kashish Shanker,Female,32.0,Bhilai,Vaishali Nagar,2024-05-24,Returning,UPI
CU000138,Girish Tiwari,Male,38.0,Raipur,VIP Road,2024-08-01,Returning,UPI
CU000139,Meera Borde,Male,41.0,Bilaspur,Sarkanda,2024-10-02,Returning,UPI
CU000140,Radhika De,Male,28.0,BHILAI,Smriti Nagar,2024-12-05,Returning,Cash on Delivery
CU000141,Bishakha Lal,Female,51.0,Bhilai,Sector 9,2025-03-12,Returning,UPI
CU000142,Maya Narain,Female,40.0,Raipur,Shankar Nagar,2026-02-17,Premium,UPI
CU000143,Sneha Magar,Male,60.0,Bilaspur,Tarbahar,2025-07-18,Returning,UPI
CU000144,Falan Jain,Male,42.0,Raipur,Devendra Nagar,2025-06-19,Returning,UPI
CU000145,Ikbal Dugal,Male,51.0,Bilaspur,Link Road,2025-12-10,Returning,Card
CU000146,Nitesh Sengupta,Female,41.0,Raipur,Devendra Nagar,2025-06-28,New,UPI
CU000147,Dipta Ray,Male,25.0,Rajnandgaon,Station Para,2024-07-10,New,Card
CU000148,Ishita Johal,Female,19.0,Bilaspur,Vyapar Vihar,2025-10-07,Returning,UPI
CU000149,Darika Sheth,Female,20.0,Raipur,Shankar Nagar,2025-06-12,Premium,Card
CU000150,Jagdish Chana,Male,56.0,Raipur,Shankar Nagar,2025-11-27,New,UPI
CU000151,Daksha Baria,Male,45.0,Bhilai,Sector 9,2025-08-18,New,UPI
CU000152,Falak Divan,Male,47.0,Raipur,VIP Road,2025-05-29,New,UPI
CU000153,Yuvraj Parekh,Male,35.0,Raipur,Telibandha,2024-05-28,Premium,UPI
CU000154,Yochana Bawa,Female,25.0,Korba,TP Nagar,2025-02-26,New,UPI
CU000155,Abha Ghosh,Male,25.0,Bilaspur,Vyapar Vihar,2024-09-15,Returning,UPI
CU000156,Nidhi Sethi,Female,52.0,Raipur,Telibandha,2024-06-11,Returning,Wallet
CU000157,Girindra Shere,Female,32.0,Bilaspur,Vyapar Vihar,2025-08-12,Returning,UPI
CU000158,Logan Dara,Female,28.0,RAIPUR,Devendra Nagar,2025-10-17,Returning,Cash on Delivery
CU000159,David Kapadia,Female,37.0,Rajnandgaon,Station Para,2024-05-31,New,UPI
CU000160,Rudra Rattan,Male,56.0,Raipur,Avanti Vihar,2024-09-25,New,UPI
CU000161,Frado Lad,Female,32.0,Bilaspur,Vyapar Vihar,2025-11-24,Premium,UPI
CU000162,Anthony Bhattacharyya,Female,18.0,Durg,Ashish Nagar,2024-07-27,Returning,Card
CU000163,Sachi Dave,Male,49.0,Raipur,VIP Road,2025-08-29,Returning,UPI
CU000164,Garima Das,Male,32.0,Raipur,Devendra Nagar,2026-02-11,New,UPI
CU000165,Triya Bedi,Female,53.0,Bhilai,Supela,2026-01-30,Returning,Card
CU000166,Rachita Rana,Female,38.0,Korba,Transport Nagar,2025-07-29,New,UPI
CU000167,Ayushman Raja,Male,35.0,Bilaspur,Vyapar Vihar,2026-03-20,Returning,UPI
CU000168,Orinder Pandya,Male,35.0,Bilaspur,Sarkanda,2025-06-06,Returning,Card
CU000169,Rachit Maharaj,Female,53.0,Durg,Malviya Nagar,2026-01-11,Premium,Card
CU000170,Sanaya Dixit,Male,37.0,Durg,Malviya Nagar,2025-08-17,New,Card
CU000171,Yatan Merchant,Male,30.0,Bhilai,Sector 10,2024-12-18,New,Cash on Delivery
CU000172,Nisha Srinivas,Other,30.0,Bhilai,Vaishali Nagar,2024-12-14,Premium,UPI
CU000173,Gagan Mammen,Female,53.0,BILASPUR,Sarkanda,2025-09-13,Returning,UPI
CU000174,Laksh Saini,Male,61.0,Raipur,Shankar Nagar,2026-01-05,New,UPI
CU000175,Zaid Bahl,Male,26.0,Durg,Adarsh Nagar,2024-12-13,Premium,UPI
CU000176,Jagrati Srinivasan,Female,18.0,Raipur,Shankar Nagar,2025-03-30,Premium,Wallet
CU000177,Hemangini Thakkar,Female,26.0,Raipur,Devendra Nagar,2024-09-14,Returning,Cash on Delivery
CU000178,Lipika Madan,Male,31.0,Durg,Adarsh Nagar,2025-05-02,Returning,UPI
CU000179,Atharv Nagar,Male,56.0,Bhilai,Vaishali Nagar,2024-08-14,Premium,UPI
CU000180,Ayushman Mand,Male,57.0,Raipur,Devendra Nagar,2024-12-03,Premium,Cash on Delivery
CU000181,Urmi Wagle,Female,38.0,Raipur,Devendra Nagar,2024-06-04,New,Card
CU000182,Viraj Dutta,Male,33.0,Bhilai,Supela,2026-03-15,Returning,Card
CU000183,Yug Khosla,Male,49.0,Durg,Adarsh Nagar,2025-03-07,New,Card
CU000184,Daksh Kanda,Male,60.0,Raipur,VIP Road,2025-03-25,Returning,UPI
CU000185,Isha Ghose,Female,34.0,Raipur,VIP Road,2024-12-12,Returning,UPI
CU000186,Warjas Nadkarni,Male,22.0,Bhilai,Sector 9,2024-04-26,New,UPI
CU000187,Ayaan Pandey,Male,21.0,Rajnandgaon,Station Para,2025-04-08,Returning,Card
CU000188,Raghav Tailor,Female,26.0,Raipur,Civil Lines,2026-01-15,New,Cash on Delivery
CU000189,Parth Swaminathan,Male,42.0,Rajnandgaon,Station Para,2025-01-30,New,Card
CU000190,Gautam Bhalla,Male,25.0,Korba,Transport Nagar,2025-01-29,New,Cash on Delivery
CU000191,Theodore Bahri,Female,61.0,Raipur,Telibandha,2025-04-17,New,Card
CU000192,Aadi Narula,Male,53.0,Durg,Ashish Nagar,2025-06-03,Returning,Cash on Delivery
CU000193,Kalpit Oak,Female,27.0,Bilaspur,Tarbahar,2025-06-24,Returning,UPI
CU000194,Ekiya Bhargava,Female,33.0,Bhilai,Vaishali Nagar,2024-10-11,Premium,Wallet
CU000195,Manbir Dhar,Female,34.0,Bhilai,Smriti Nagar,2024-08-20,New,UPI
CU000196,Janya Bora,Female,62.0,Durg,Ashish Nagar,2024-04-24,Returning,UPI
CU000197,Meghana Chaudhuri,Female,21.0,Durg,Malviya Nagar,2024-04-28,Returning,UPI
CU000198,Chasmum Naidu,Female,42.0,Durg,Adarsh Nagar,2024-06-08,Returning,Cash on Delivery
CU000199,Nakul Sarkar,Male,34.0,Rajnandgaon,Station Para,2026-01-03,Returning,UPI
CU000200,Edhitha Ghosh,Female,63.0,Bhilai,Sector 9,2024-10-26,Premium,UPI
CU000201,Udant Gill,Male,53.0,Durg,Borsi,2025-11-02,Returning,Wallet
CU000202,Damyanti Menon,Male,19.0,Durg,Borsi,2025-11-29,Returning,UPI
CU000203,Peter Agarwal,Male,46.0,Raipur,Telibandha,2026-01-23,Returning,Wallet
CU000204,Bachittar Gopal,Female,29.0,Raipur,Devendra Nagar,2026-03-24,Returning,UPI
CU000205,Timothy Chawla,Male,48.0,Bhilai,Vaishali Nagar,2025-02-26,Premium,UPI
CU000206,Lohit Narula,Male,51.0,Durg,Adarsh Nagar,2024-06-20,New,UPI
CU000207,Wazir Palan,Male,42.0,Raipur,VIP Road,2025-12-01,New,Wallet
CU000208,Oliver Chakrabarti,Female,60.0,Bilaspur,Link Road,2025-07-14,Returning,UPI
CU000209,Sanya Apte,Female,29.0,Raipur,Civil Lines,2025-03-15,New,UPI
CU000210,Shaurya Krish,Male,41.0,Bhilai,Supela,2026-02-12,Returning,Wallet
CU000211,Inaya Kunda,Female,53.0,Bilaspur,Tarbahar,2025-03-19,New,UPI
CU000212,Aarav Bava,Male,39.0,Raipur,Avanti Vihar,2024-11-12,New,UPI
CU000213,Raksha Saini,Male,41.0,Korba,TP Nagar,2024-12-01,New,Wallet
CU000214,Odika Tailor,Male,35.0,Raipur,Avanti Vihar,2026-02-05,Returning,UPI
CU000215,Indali Prashad,Female,49.0,Korba,TP Nagar,2025-02-06,Premium,Cash on Delivery
CU000216,Varenya Kar,Female,43.0,Raipur,Devendra Nagar,2025-03-07,New,UPI
CU000217,Siya Borah,Male,45.0,Rajnandgaon,Station Para,2025-09-27,New,UPI
CU000218,Chaitaly Bahri,Female,,Bilaspur,Sarkanda,2024-12-09,Returning,Cash on Delivery
CU000219,Advika Cheema,Female,45.0,Raipur,Shankar Nagar,2024-06-26,Returning,UPI
CU000220,Hema Garde,Female,28.0,Raipur,Telibandha,2025-11-16,Returning,UPI
CU000221,Naveen Borde,Female,53.0,Raipur,VIP Road,2025-08-12,Returning,UPI
CU000222,Hamsini Subramanian,Male,19.0,Bilaspur,Vyapar Vihar,2024-06-14,New,Card
CU000223,Raagini Gala,Male,63.0,Durg,Adarsh Nagar,2024-08-15,Premium,UPI
CU000224,Naksh Bera,Male,23.0,Bhilai,Supela,2025-03-22,Returning,Cash on Delivery
CU000225,Garima Jha,Female,31.0,Bhilai,Vaishali Nagar,2024-11-08,New,UPI
CU000226,Nimrat Zachariah,Male,44.0,Bilaspur,Sarkanda,2024-08-27,New,UPI
CU000227,Baghyawati Mishra,Female,37.0,Bhilai,Vaishali Nagar,2026-01-30,Returning,Cash on Delivery
CU000228,Gopal Bawa,Female,20.0,Bilaspur,Sarkanda,2025-03-03,New,UPI
CU000229,Vritti Dube,Male,32.0,Bhilai,Vaishali Nagar,2024-04-07,New,UPI
CU000230,Jalsa Aggarwal,Female,35.0,Bilaspur,Sarkanda,2025-04-20,New,UPI
CU000231,Gagan Menon,Female,40.0,Rajnandgaon,Civil Lines,2024-11-14,New,Cash on Delivery
CU000232,Ryan Chatterjee,Female,19.0,Bhilai,Sector 9,2025-06-30,Premium,Card
CU000233,Samuel Garde,Male,38.0,Raipur,Avanti Vihar,2024-07-28,Returning,Cash on Delivery
CU000234,Finn Solanki,Female,26.0,Raipur,Civil Lines,2024-07-13,Returning,Card
CU000235,Darika Rao,Female,26.0,Bilaspur,Sarkanda,2024-07-15,Returning,Cash on Delivery
CU000236,Vrinda Lanka,Female,21.0,Bhilai,Sector 9,2025-11-08,New,UPI
CU000237,Lila Goyal,Male,36.0,Rajnandgaon,Civil Lines,2025-12-16,Returning,Card
CU000238,Lakshmi Pingle,Male,20.0,Bilaspur,Vyapar Vihar,2026-01-30,Returning,UPI
CU000239,Sanaya Basu,Female,36.0,Bhilai,Supela,2024-08-27,Returning,UPI
CU000240,Ria Shroff,Female,63.0,Durg,Borsi,2026-01-06,New,Card
CU000241,Upkaar Luthra,Female,25.0,Raipur,Telibandha,2024-07-06,Premium,UPI
CU000242,Matthew Chatterjee,Female,63.0,Durg,Malviya Nagar,2025-05-24,Returning,UPI
CU000243,Hemangini Sachdev,Male,48.0,Raipur,Civil Lines,2024-10-12,Returning,Wallet
CU000244,Darsh Ram,Male,20.0,Bilaspur,Sarkanda,2025-08-05,New,Card
CU000245,Vaishnavi Keer,Male,51.0,Rajnandgaon,Civil Lines,2024-11-27,Returning,Wallet
CU000246,Chandani Brar,Male,53.0,Durg,Adarsh Nagar,2026-01-21,New,UPI
CU000247,Bakhshi Thakkar,Female,,Durg,Adarsh Nagar,2025-04-26,New,UPI
CU000248,Jai Sen,Male,41.0,Bhilai,Sector 9,2024-06-18,New,UPI
CU000249,Oliver Kakar,Female,26.0,Durg,Adarsh Nagar,2025-02-16,New,UPI
CU000250,Jonathan Basak,Female,33.0,Bilaspur,Vyapar Vihar,2025-08-29,Returning,Card
CU000251,Farhan Saran,Male,61.0,Bilaspur,Sarkanda,2025-05-22,Returning,Card
CU000252,Manbir Kuruvilla,Female,26.0,Raipur,Avanti Vihar,2025-05-20,Premium,Cash on Delivery
CU000253,Ekalinga Chahal,Male,51.0,Raipur,Shankar Nagar,2025-03-10,Returning,Card
CU000254,Mekhala Nanda,Female,44.0,BILASPUR,Vyapar Vihar,2025-09-06,Returning,Card
CU000255,Zinal Shanker,Male,20.0,Raipur,VIP Road,2025-10-25,New,Card
CU000256,Oni Chowdhury,Male,47.0,Durg,Adarsh Nagar,2024-08-21,Returning,Wallet
CU000257,Mason Divan,Male,56.0,Durg,Adarsh Nagar,2025-12-09,Returning,UPI
CU000258,Hitesh Chaudhuri,Male,60.0,Korba,TP Nagar,2024-11-03,New,Card
CU000259,Hemangini Roy,Male,53.0,Raipur,Avanti Vihar,2024-06-05,New,Cash on Delivery
CU000260,Leela Sunder,Female,47.0,Rajnandgaon,Station Para,2026-01-29,Premium,Wallet
CU000261,Baljiwan Gera,Male,32.0,Raipur,Civil Lines,2024-05-14,Returning,Card
CU000262,Neha Dhawan,Female,46.0,Bhilai,Sector 9,2024-06-08,Premium,Card
CU000263,Balvan Randhawa,Male,31.0,Durg,Ashish Nagar,2025-07-14,Returning,UPI
CU000264,Wazir Bawa,Female,49.0,Raipur,Avanti Vihar,2026-02-04,Premium,UPI
CU000265,Amruta Pradhan,Female,48.0,Raipur,Devendra Nagar,2025-01-13,Returning,UPI
CU000266,Geetika Mitter,Male,45.0,RAIPUR,Telibandha,2025-09-08,New,UPI
CU000267,Avni Swamy,Female,41.0,Bhilai,Sector 9,2025-10-09,Premium,UPI
CU000268,Vedant Desai,Male,57.0,Durg,Ashish Nagar,2024-10-05,Returning,UPI
CU000269,Saanvi Nagi,Male,58.0,Raipur,Telibandha,2026-02-02,Returning,UPI
CU000270,Omaja Chakraborty,Female,56.0,Raipur,Devendra Nagar,2025-08-20,Premium,Cash on Delivery
CU000271,Riya Kakar,Female,59.0,Bilaspur,Vyapar Vihar,2025-10-10,Returning,Card
CU000272,Vedhika Varty,Male,44.0,Raipur,Civil Lines,2026-01-16,Returning,UPI
CU000273,Daksh Varma,Male,60.0,Bilaspur,Link Road,2024-04-10,Premium,UPI
CU000274,Dominic Mukhopadhyay,Female,62.0,Rajnandgaon,Station Para,2024-08-25,Returning,UPI
CU000275,Krishna Viswanathan,Male,43.0,Durg,Borsi,2024-04-11,New,Cash on Delivery
CU000276,Oscar Hans,Female,32.0,Korba,Transport Nagar,2025-08-18,New,UPI
CU000277,Dalbir Krish,Male,55.0,Bhilai,Vaishali Nagar,2025-06-16,New,Card
CU000278,Tanmayi Bedi,Male,47.0,Durg,Borsi,2026-03-02,Returning,UPI
CU000279,Rushil Mahal,Male,46.0,Raipur,VIP Road,2025-05-15,Premium,UPI
CU000280,Ucchal Tiwari,Male,54.0,Raipur,Civil Lines,2024-10-01,New,UPI
CU000281,Jatin Balasubramanian,Male,39.0,Bilaspur,Tarbahar,2025-09-10,New,Cash on Delivery
CU000282,Kashish Suresh,Female,50.0,Raipur,Telibandha,2026-01-28,Returning,UPI
CU000283,Peter Som,Male,61.0,Korba,TP Nagar,2024-06-25,Returning,UPI
